   1.3940e+00   3.3375e+00   4.5000e+01   2.0793e+00   3.6932e+02   2.7254e+00   4.9078e-01   4.8408e+02   8.7172e+01
   1.4152e+00   3.3587e+00   4.5000e+01   2.0074e+00   3.4900e+02   1.7521e+00   4.0306e-01   3.0462e+02   7.0076e+01
   1.4272e+00   3.3707e+00   4.5000e+01   1.9551e+00   3.3593e+02   1.6371e+00   3.6002e-01   2.8128e+02   6.1858e+01
   1.4521e+00   3.3956e+00   4.5000e+01   1.8215e+00   3.0556e+02   1.3308e+00   2.6650e-01   2.2325e+02   4.4705e+01
   1.4890e+00   3.4325e+00   4.5000e+01   1.5738e+00   2.5516e+02   1.2530e+00   1.3821e-01   2.0314e+02   2.2408e+01
   1.4992e+00   3.4427e+00   4.5000e+01   1.4991e+00   2.4083e+02   1.3548e+00   9.5177e-02   2.1766e+02   1.5290e+01
   1.5222e+00   3.4657e+00   4.5000e+01   1.3259e+00   2.0874e+02   1.2961e+00   6.4555e-02   2.0404e+02   1.0163e+01
   1.5425e+00   3.4860e+00   4.5000e+01   1.1763e+00   1.8199e+02   1.1430e+00   1.0263e-01   1.7683e+02   1.5878e+01
   1.5517e+00   3.4953e+00   4.5000e+01   1.1110e+00   1.7056e+02   1.1107e+00   8.8556e-02   1.7051e+02   1.3595e+01
   1.5637e+00   3.5072e+00   4.5000e+01   1.0298e+00   1.5653e+02   1.1926e+00   5.9589e-02   1.8128e+02   9.0576e+00
   1.5730e+00   3.5165e+00   4.5000e+01   9.7064e-01   1.4643e+02   1.0081e+00   5.0485e-02   1.5207e+02   7.6160e+00
   1.5840e+00   3.5275e+00   4.5000e+01   9.0401e-01   1.3516e+02   9.6916e-01   4.8830e-02   1.4490e+02   7.3006e+00
   1.5840e+00   3.5275e+00   4.5000e+01   9.0401e-01   1.3516e+02   8.2929e-01   4.1382e-02   1.2399e+02   6.1869e+00
   1.5933e+00   3.5368e+00   4.5000e+01   8.5238e-01   1.2650e+02   8.5494e-01   4.3037e-02   1.2688e+02   6.3871e+00
   1.6053e+00   3.5488e+00   4.5000e+01   7.9083e-01   1.1626e+02   8.5411e-01   4.3037e-02   1.2556e+02   6.3269e+00
   1.6053e+00   3.5488e+00   4.5000e+01   7.9083e-01   1.1626e+02   7.3328e-01   3.6416e-02   1.0780e+02   5.3535e+00
   1.6136e+00   3.5571e+00   4.5000e+01   7.5199e-01   1.0984e+02   7.7135e-01   3.8899e-02   1.1267e+02   5.6816e+00
   1.6136e+00   3.5571e+00   4.5000e+01   7.5199e-01   1.0984e+02   7.9618e-01   3.9726e-02   1.1629e+02   5.8025e+00
   1.6256e+00   3.5691e+00   4.5000e+01   7.0136e-01   1.0150e+02   7.6390e-01   3.8071e-02   1.1055e+02   5.5096e+00
   1.6375e+00   3.5811e+00   4.5000e+01   6.5709e-01   9.4229e+01   6.8114e-01   3.3933e-02   9.7678e+01   4.8661e+00
   1.6458e+00   3.5894e+00   4.5000e+01   6.3005e-01   8.9790e+01   6.5548e-01   3.3105e-02   9.3415e+01   4.7179e+00
   1.6560e+00   3.5995e+00   4.5000e+01   6.0086e-01   8.4986e+01   6.6128e-01   6.6210e-02   9.3532e+01   9.3649e+00
   1.6671e+00   3.6106e+00   4.5000e+01   5.7361e-01   8.0475e+01   6.6045e-01   9.9316e-02   9.2659e+01   1.3934e+01
   1.6883e+00   3.6318e+00   4.5000e+01   5.3361e-01   7.3728e+01   5.8927e-01   5.8762e-02   8.1418e+01   8.1189e+00
   1.7077e+00   3.6512e+00   4.5000e+01   5.0946e-01   6.9437e+01   5.1892e-01   1.0345e-01   7.0726e+01   1.4100e+01
   1.7501e+00   3.6936e+00   4.5000e+01   4.8883e-01   6.4728e+01   2.8222e-01   7.0349e-02   3.7370e+01   9.3151e+00
   1.7713e+00   3.7148e+00   4.5000e+01   4.9099e-01   6.4115e+01   1.5973e-01   8.0280e-02   2.0858e+01   1.0483e+01
   1.8156e+00   3.7591e+00   4.5000e+01   5.1305e-01   6.5140e+01   1.0759e-01   8.6074e-02   1.3661e+01   1.0928e+01
