(5.36272e-06,-5.9034e-06)
(-1.06222e-05,-1.05227e-05)
(4.26989e-05,0.000609002)
(0.000513157,7.73505e-05)
(-2.85122e-05,3.13868e-05)
(5.64753e-05,5.59463e-05)
(-1.45006e-05,1.59626e-05)
(7.03676e-06,8.75379e-06)
(0.000164025,-6.81591e-05)
(-0.000100644,-0.000250419)
(5.39944e-06,-5.16118e-07)
(-4.22935e-07,-4.5641e-06)
(6.38545e-06,-7.54772e-06)
(-1.17745e-05,-1.1234e-05)
(6.68857e-05,0.000699973)
(0.00055199,9.74746e-05)
(-3.39498e-05,4.01292e-05)
(6.26018e-05,5.97284e-05)
(-1.70106e-05,2.01068e-05)
(7.94923e-06,1.01155e-05)
(0.000204081,-9.83659e-05)
(-0.000122541,-0.00026621)
(7.26243e-06,-1.23025e-06)
(-8.40397e-07,-5.1095e-06)
(6.69224e-06,-8.07625e-06)
(-1.21292e-05,-1.14615e-05)
(7.54433e-05,0.000726335)
(0.000563507,0.000103462)
(-3.55809e-05,4.29393e-05)
(6.44877e-05,6.09379e-05)
(-1.77514e-05,2.14225e-05)
(8.22581e-06,1.05586e-05)
(0.000216611,-0.000108569)
(-0.000129243,-0.00027118)
(7.87988e-06,-1.49903e-06)
(-9.74803e-07,-5.28212e-06)
(7.06941e-06,-8.75022e-06)
(-1.25726e-05,-1.17511e-05)
(8.68451e-05,0.000758231)
(0.000577647,0.000110765)
(-3.75862e-05,4.65226e-05)
(6.68453e-05,6.24773e-05)
(-1.86547e-05,2.309e-05)
(8.56846e-06,1.11274e-05)
(0.000232362,-0.000121886)
(-0.000137606,-0.000277474)
(8.67909e-06,-1.86803e-06)
(-1.14695e-06,-5.50146e-06)
(7.40564e-06,-9.37486e-06)
(-1.29758e-05,-1.20189e-05)
(9.78672e-05,0.000786225)
(0.000590273,0.000117208)
(-3.93739e-05,4.98437e-05)
(6.8989e-05,6.39015e-05)
(-1.94531e-05,2.46258e-05)
(8.87688e-06,1.16583e-05)
(0.000246744,-0.00013451)
(-0.000145198,-0.00028328)
(9.43101e-06,-2.23555e-06)
(-1.30753e-06,-5.70446e-06)
(7.66974e-06,-9.88222e-06)
(-1.32984e-05,-1.22362e-05)
(0.000107119,0.000807946)
(0.00060023,0.000122217)
(-4.0778e-05,5.25412e-05)
(7.07042e-05,6.50567e-05)
(-2.00758e-05,2.5867e-05)
(9.12145e-06,1.20921e-05)
(0.000258278,-0.000144949)
(-0.000151266,-0.000287983)
(1.00493e-05,-2.55166e-06)
(-1.43887e-06,-5.86946e-06)
(7.92927e-06,-1.0396e-05)
(-1.3621e-05,-1.2456e-05)
(0.000116744,0.000829081)
(0.000610067,0.00012709)
(-4.21578e-05,5.52725e-05)
(7.24195e-05,6.62252e-05)
(-2.06839e-05,2.71183e-05)
(9.36409e-06,1.25337e-05)
(0.000269828,-0.00015568)
(-0.00015733,-0.000292741)
(1.06818e-05,-2.88746e-06)
(-1.5728e-06,-6.03685e-06)
(8.19663e-06,-1.09419e-05)
(-1.39598e-05,-1.26893e-05)
(0.000127238,0.000850652)
(0.000620277,0.000132055)
(-4.35793e-05,5.81749e-05)
